Данные на маршруте;;;;
;;;;
Тип ТС;# ТС;t, мин.;L, км;Q, т
0;0;1.0;0;0
0;0;1.0;0;0
0;0;3.88;1.2;0
0;0;5.88;1.2;0
0;0;8.879999999999999;1.2;0
0;0;11.879999999999999;1.2;30.0
0;0;16.38;2.7;30.0
0;0;20.38;2.7;30.0
0;0;23.259999999999998;3.9000000000000004;30.0
0;0;26.259999999999998;3.9000000000000004;60.0
0;0;30.759999999999998;5.4;60.0
0;0;34.76;5.4;60.0
0;0;37.64;6.6000000000000005;60.0
0;0;40.64;6.6000000000000005;90.0
0;0;45.14;8.100000000000001;90.0
0;0;49.14;8.100000000000001;90.0
0;0;52.02;9.3;90.0
0;0;55.02;9.3;120.0
0;0;59.52;10.8;120.0
0;0;63.52;10.8;120.0
0;0;66.4;12.0;120.0
0;0;69.4;12.0;150.0
0;0;73.9;13.5;150.0
0;0;77.9;13.5;150.0
0;0;80.78;14.7;150.0
0;0;83.78;14.7;180.0
0;0;88.28;16.2;180.0
0;0;92.28;16.2;180.0
0;0;95.16;17.4;180.0
0;0;98.16;17.4;210.0
0;0;102.66;18.9;210.0
0;0;106.66;18.9;210.0
0;0;109.53999999999999;20.099999999999998;210.0
0;0;112.53999999999999;20.099999999999998;240.0
0;0;117.03999999999999;21.599999999999998;240.0
0;0;121.03999999999999;21.599999999999998;240.0
0;0;123.91999999999999;22.799999999999997;240.0
0;0;126.91999999999999;22.799999999999997;270.0
0;0;131.42;24.299999999999997;270.0
0;0;135.42;24.299999999999997;270.0
0;0;138.29999999999998;25.499999999999996;270.0
0;0;141.29999999999998;25.499999999999996;300.0
0;0;145.79999999999998;26.999999999999996;300.0
0;0;149.79999999999998;26.999999999999996;300.0
0;0;152.67999999999998;28.199999999999996;300.0
0;0;155.67999999999998;28.199999999999996;330.0
0;0;160.17999999999998;29.699999999999996;330.0
0;0;164.17999999999998;29.699999999999996;330.0
0;0;167.05999999999997;30.899999999999995;330.0
0;0;170.05999999999997;30.899999999999995;360.0
0;0;174.55999999999997;32.39999999999999;360.0
0;0;178.55999999999997;32.39999999999999;360.0
0;0;181.43999999999997;33.599999999999994;360.0
0;0;184.43999999999997;33.599999999999994;390.0
0;0;188.93999999999997;35.099999999999994;390.0
0;0;192.93999999999997;35.099999999999994;390.0
0;0;195.81999999999996;36.3;390.0
0;0;198.81999999999996;36.3;420.0
0;0;203.31999999999996;37.8;420.0
0;0;207.31999999999996;37.8;420.0
0;0;210.19999999999996;39.0;420.0
0;0;213.19999999999996;39.0;450.0
0;0;217.69999999999996;40.5;450.0
0;0;221.69999999999996;40.5;450.0
0;0;224.57999999999996;41.7;450.0
0;0;227.57999999999996;41.7;480.0
0;0;232.07999999999996;43.2;480.0
0;0;236.07999999999996;43.2;480.0
0;0;238.95999999999995;44.400000000000006;480.0
0;0;241.95999999999995;44.400000000000006;510.0
0;0;246.45999999999995;45.900000000000006;510.0
0;0;250.45999999999995;45.900000000000006;510.0
0;0;253.33999999999995;47.10000000000001;510.0
0;0;256.3399999999999;47.10000000000001;540.0
0;0;260.8399999999999;48.60000000000001;540.0
0;0;264.8399999999999;48.60000000000001;540.0
0;0;267.7199999999999;49.80000000000001;540.0
0;0;270.7199999999999;49.80000000000001;570.0
0;0;275.2199999999999;51.30000000000001;570.0
0;0;279.2199999999999;51.30000000000001;570.0
0;0;282.0999999999999;52.500000000000014;570.0
0;0;285.0999999999999;52.500000000000014;600.0
0;0;289.5999999999999;54.000000000000014;600.0
0;0;293.5999999999999;54.000000000000014;600.0
0;0;296.4799999999999;55.20000000000002;600.0
0;0;299.4799999999999;55.20000000000002;630.0
0;0;303.9799999999999;56.70000000000002;630.0
0;0;307.9799999999999;56.70000000000002;630.0
0;0;310.8599999999999;57.90000000000002;630.0
0;0;313.8599999999999;57.90000000000002;660.0
0;0;318.3599999999999;59.40000000000002;660.0
0;0;322.3599999999999;59.40000000000002;660.0
0;0;325.2399999999999;60.60000000000002;660.0
0;0;328.2399999999999;60.60000000000002;690.0
0;0;332.7399999999999;62.10000000000002;690.0
0;0;336.7399999999999;62.10000000000002;690.0
0;0;339.6199999999999;63.300000000000026;690.0
0;0;342.6199999999999;63.300000000000026;720.0
0;0;347.1199999999999;64.80000000000003;720.0
0;0;351.1199999999999;64.80000000000003;720.0
0;0;353.9999999999999;66.00000000000003;720.0
0;0;356.9999999999999;66.00000000000003;750.0
0;0;361.4999999999999;67.50000000000003;750.0
0;0;365.4999999999999;67.50000000000003;750.0
0;0;368.3799999999999;68.70000000000003;750.0
0;0;371.3799999999999;68.70000000000003;780.0
0;0;375.8799999999999;70.20000000000003;780.0
0;0;379.8799999999999;70.20000000000003;780.0
0;0;382.7599999999999;71.40000000000003;780.0
0;0;385.7599999999999;71.40000000000003;810.0
0;0;390.2599999999999;72.90000000000003;810.0
0;0;394.2599999999999;72.90000000000003;810.0
0;0;397.1399999999999;74.10000000000004;810.0
0;0;400.1399999999999;74.10000000000004;840.0
0;0;404.6399999999999;75.60000000000004;840.0
0;0;408.6399999999999;75.60000000000004;840.0
0;0;411.51999999999987;76.80000000000004;840.0
0;0;414.51999999999987;76.80000000000004;870.0
0;0;419.01999999999987;78.30000000000004;870.0
0;0;423.01999999999987;78.30000000000004;870.0
0;0;425.89999999999986;79.50000000000004;870.0
0;0;428.89999999999986;79.50000000000004;900.0
0;0;433.39999999999986;81.00000000000004;900.0
0;0;437.39999999999986;81.00000000000004;900.0
0;0;440.27999999999986;82.20000000000005;900.0
0;0;443.27999999999986;82.20000000000005;930.0
